210019,RTU-04,Rooftop Unit,CHW-HS RTU-04
210019,RTU-05,Rooftop Unit,CHW-HS RTU-05
210019,RTU-06,Rooftop Unit,CHW-HS RTU-06
210019,RTU-07,Rooftop Unit,CHW-HS RTU-07
210019,RTU-08,Rooftop Unit,CHW-HS RTU-08
210019,RTU-09,Rooftop Unit,CHW-HS RTU-09
210019,RTU-10,Rooftop Unit,CHW-HS RTU-10
210019,RTU-11,Rooftop Unit,CHW-HS RTU-11
210019,RTU-12,Rooftop Unit,CHW-HS RTU-12
210019,RTU-13,Rooftop Unit,CHW-HS RTU-13
210019,RTU-14,Rooftop Unit,CHW-HS RTU-14
210019,RTU-15,Rooftop Unit,CHW-HS RTU-15
210019,RTU-16,Rooftop Unit,CHW-HS RTU-16
210019,RTU-17,Rooftop Unit,CHW-HS RTU-17
210019,RTU-18,Rooftop Unit,CHW-HS RTU-18
210019,RTU-19,Rooftop Unit,CHW-HS RTU-19
210019,RTU-20,Rooftop Unit,CHW-HS RTU-20
210019,RTU-21,Rooftop Unit,CHW-HS RTU-21
210019,RTU-22,Rooftop Unit,CHW-HS RTU-22
210019,RTU-23,Rooftop Unit,CHW-HS RTU-23
210019,RTU-24,Rooftop Unit,CHW-HS RTU-24
210019,RTU-25,Rooftop Unit,CHW-HS RTU-25
210019,RTU-26,Rooftop Unit,CHW-HS RTU-26
210019,RTU-27,Rooftop Unit,CHW-HS RTU-27
210019,RTU-28,Rooftop Unit,CHW-HS RTU-28
210019,RTU-29,Rooftop Unit,CHW-HS RTU-29
210019,RTU-30,Rooftop Unit,CHW-HS RTU-30
210019,RTU-31,Rooftop Unit,CHW-HS RTU-31
210019,RTU-32,Rooftop Unit,CHW-HS RTU-32
210019,RTU-33,Rooftop Unit,CHW-HS RTU-33
210019,RTU-34,Rooftop Unit,CHW-HS RTU-34
210019,RTU-35,Rooftop Unit,CHW-HS RTU-35
210019,RTU-36,Rooftop Unit,CHW-HS RTU-36
210019,RTU-37,Rooftop Unit,CHW-HS RTU-37
210019,Storage,Unit Heater,CHW-HS Storage
